Location	Name	ID	Count	Slots
Ear	Empty	0	0	0
Head	Empty	0	0	0
Face	Empty	0	0	0
Ear	Empty	0	0	0
Neck	Empty	0	0	0
Shoulders	Empty	0	0	0
Arms	Empty	0	0	0
Back	Empty	0	0	0
Wrist	Empty	0	0	0
Wrist	Empty	0	0	0
Range	Empty	0	0	0
Hands	Empty	0	0	0
Primary	Empty	0	0	0
Secondary	Empty	0	0	0
Fingers	Empty	0	0	0
Fingers	Empty	0	0	0
Chest	Empty	0	0	0
Legs	Empty	0	0	0
Feet	Empty	0	0	0
Waist	Empty	0	0	0
Ammo	Empty	0	0	0
General1	Backpack	17005	1	8
General1-Slot1	Empty	0	0	0
General1-Slot2	Empty	0	0	0
General1-Slot3	Empty	0	0	0
General1-Slot4	Empty	0	0	0
General1-Slot5	Empty	0	0	0
General1-Slot6	Empty	0	0	0
General1-Slot7	Empty	0	0	0
General1-Slot8	Empty	0	0	0
General2	Large Box	17007	1	8
General2-Slot1	Empty	0	0	0
General2-Slot2	Empty	0	0	0
General2-Slot3	Empty	0	0	0
General2-Slot4	Empty	0	0	0
General2-Slot5	Empty	0	0	0
General2-Slot6	Empty	0	0	0
General2-Slot7	Empty	0	0	0
General2-Slot8	Empty	0	0	0
General3	Backpack	17005	1	8
General3-Slot1	Spell: Call of Fire	30463	1	0
General3-Slot2	Spell: Blessed Armor of the Risen	7609	1	0
General3-Slot3	Spell: Dictate	19406	1	0
General3-Slot4	Spell: Cannibalize IV	19473	1	0
General3-Slot5	Spell: Corporeal Empathy	30413	1	0
General3-Slot6	Empty	0	0	0
General3-Slot7	Spell: Visions of Grandeur	19407	1	0
General3-Slot8	Spell: Greater Vocaration: Water	19372	1	0
General4	Large Box	17007	1	8
General4-Slot1	Spell: Asphyxiate	19402	1	0
General4-Slot2	Spell: Gift of Pure Thought	19401	1	0
General4-Slot3	Spell: Improved Invis vs Undead	30411	1	0
General4-Slot4	Spell: Monster Summoning III	30404	1	0
General4-Slot5	Spell: Improved Invis vs Undead	30411	1	0
General4-Slot6	Spell: Wrath of the Elements	30405	1	0
General4-Slot7	Empty	0	0	0
General4-Slot8	Spell: Shroud of Death	30459	1	0
General5	Backpack	17005	1	8
General5-Slot1	Spell: Protection of the Glades	30442	1	0
