Location	Name	ID	Count	Slots
Ear	Empty	0	0	0
Head	Empty	0	0	0
Face	Empty	0	0	0
Ear	Empty	0	0	0
Neck	Empty	0	0	0
Shoulders	Empty	0	0	0
Arms	Empty	0	0	0
Back	Empty	0	0	0
Wrist	Empty	0	0	0
Wrist	Empty	0	0	0
Range	Empty	0	0	0
Hands	Empty	0	0	0
Primary	Club*	9999	1	0
Secondary	A Worn Candle	9979	1	0
Fingers	Empty	0	0	0
Fingers	Empty	0	0	0
Chest	Empty	0	0	0
Legs	Empty	0	0	0
Feet	Empty	0	0	0
Waist	Empty	0	0	0
Ammo	Empty	0	0	0
General1	Backpack	17005	1	8
General1-Slot1	Spell: Mask of the Stalker	19529	1	0
General1-Slot2	Spell: Greater Familiar	7660	1	0
General1-Slot3	Spell: Zevfeer's Theft of Vitae	7650	1	0
General1-Slot4	Spell: Healing  Wave of Prexus	7689	1	0
General1-Slot5	Spell: Spirit of Khati Sha	7731	1	0
General1-Slot6	Spell: Brell's Mountainous Barrier	7690	1	0
General1-Slot7	Spell: Warder's Protection	7700	1	0
General1-Slot8	Spell: Maelstrom of Electricity	19497	1	0
General2	Backpack	17005	1	8
General2-Slot1	Spell: Falcon Eye	7696	1	0
General2-Slot2	Spell: Moonfire	19519	1	0
General2-Slot3	Spell: Brell's Mountainous Barrier	7690	1	0
General2-Slot4	Spell: Cloak of the Akheva	7680	1	0
General2-Slot5	Spell: Ro's Smoldering Disjunction	7618	1	0
General2-Slot6	Spell: Cloak of the Akheva	7680	1	0
General2-Slot7	Empty	0	0	0
General2-Slot8	Empty	0	0	0
General3	Backpack	17005	1	8
General3-Slot1	Spell: Upheaval	19233	1	0
General3-Slot2	Spell: Plague of insects	7627	1	0
General3-Slot3	Spell: Trucidation	19425	1	0
General3-Slot4	Spell: Foliage Shield	7616	1	0
General3-Slot5	Song: Elemental Chorus	7707	1	0
General3-Slot6	Spell: Tricksters Augmentation	7666	1	0
General3-Slot7	Spell: Circle of Seasons	7619	1	0
General3-Slot8	Spell: Mark of Retribution	7607	1	0
General4	Backpack	17005	1	8
General4-Slot1	Spell: Aid of Khurenz	7722	1	0
General4-Slot2	Spell: Healing  Wave of Prexus	7689	1	0
General4-Slot3	Spell: Succussion of Shadows	7647	1	0
