Location	Name	ID	Count	Slots
Ear	Empty	0	0	0
Head	Empty	0	0	0
Face	Empty	0	0	0
Ear	Empty	0	0	0
Neck	Empty	0	0	0
Shoulders	Empty	0	0	0
Arms	Empty	0	0	0
Back	Empty	0	0	0
Wrist	Empty	0	0	0
Wrist	Empty	0	0	0
Range	Empty	0	0	0
Hands	Empty	0	0	0
Primary	Empty	0	0	0
Secondary	Empty	0	0	0
Fingers	Empty	0	0	0
Fingers	Empty	0	0	0
Chest	Empty	0	0	0
Legs	Empty	0	0	0
Feet	Empty	0	0	0
Waist	Empty	0	0	0
Ammo	Empty	0	0	0
General1	Hand Made Backpack	17969	1	10
General1-Slot1	Djinni Stave	20765	1	0
General1-Slot2	Empty	0	0	0
General1-Slot3	Petrified Wood	20873	2	0
General1-Slot4	Empty	0	0	0
General1-Slot5	Empty	0	0	0
General1-Slot6	Empty	0	0	0
General1-Slot7	Sphinxian Ring	20709	2	0
General1-Slot8	Empty	0	0	0
General1-Slot9	Empty	0	0	0
General1-Slot10	Mottled Spiroc Feather	20956	1	0
General2	Hand Made Backpack	17969	1	10
General2-Slot1	Efreeti Statuette	20951	1	0
General2-Slot2	Mithril  Air Ring	20747	1	0
General2-Slot3	Finely Woven Cloth Amice	20760	3	0
General2-Slot4	Efreeti Statuette	20951	1	0
General2-Slot5	Ebon Shard	20780	4	0
General2-Slot6	Ysgaril Root	20849	4	0
General2-Slot7	Augmentors Gem	20741	1	0
General2-Slot8	Efreeti Standard	20817	3	0
General2-Slot9	Empty	0	0	0
General2-Slot10	Empty	0	0	0
General3	Hand Made Backpack	17969	1	10
General3-Slot1	Empty	0	0	0
General3-Slot2	Efreeti Wind Staff	20779	3	0
General3-Slot3	Petrified Wood	20873	20	0
General3-Slot4	Efreeti War Club	20845	2	0
General3-Slot5	Spiroc Talon	20799	5	0
General3-Slot6	Writ of Quellious	20804	16	0
General3-Slot7	Red Face Paint	20986	10	0
General3-Slot8	Virulent Poison	20979	10	0
General3-Slot9	Djinni Blood	20784	19	0
General3-Slot10	Efreeti Scimitar	20739	2	0
General4	Hand Made Backpack	17969	1	10
General4-Slot1	Efreeti War Shield	20705	3	0
General4-Slot2	Efreeti War Axe	20711	3	0
General4-Slot3	Efreeti Dirk	20875	6	0
